Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Cordasco, Gennaro; De Chiara, Rosario; Mancuso, Ada; Mazzeo, Dario; Scarano, Vittorio; Spagnuolo, Carmine; ",A framework for distributing agent-based simulations,European Conference on Parallel Processing,,,460-470,2011,"Springer, Berlin, Heidelberg"
"Cordasco, Gennaro; De Chiara, Rosario; Mancuso, Ada; Mazzeo, Dario; Scarano, Vittorio; Spagnuolo, Carmine; ",Bringing together efficiency and effectiveness in distributed simulations: the experience with D-MASON,Simulation,89,10,1236-1253,2013,"Sage Publications Sage UK: London, England"
"Cordasco, Gennaro; De Chiara, Rosario; Raia, Francesco; Scarano, Vittorio; Spagnuolo, Carmine; Vicidomini, Luca; ",Designing computational steering facilities for distributed agent based simulations,Proceedings of the 1st ACM SIGSIM Conference on Principles of Advanced Discrete Simulation,,,385-390,2013,ACM
"Cordasco, Gennaro; Mancuso, Ada; Milone, Francesco; Spagnuolo, Carmine; ",Communication strategies in distributed agent-based simulations: the experience with D-Mason,European Conference on Parallel Processing,,,533-543,2013,"Springer, Berlin, Heidelberg"
"Cordasco, Gennaro; Milone, Francesco; Spagnuolo, Carmine; Vicidomini, Luca; ",Exploiting d-mason on parallel platforms: A novel communication strategy,European Conference on Parallel Processing,,,407-417,2014,"Springer, Cham"
"Cordasco, Gennaro; De Chiara, Rosario; Mancuso, Ada; Mazzeo, Dario; Scarano, Vittorio; Spagnuolo, Carmine; ",D-Mason: A Distributed Framework for Agent Based Simulations,Submitted for publication,,,,2012,
"Cordasco, Gennaro; Malandrino, Delfina; Palmieri, Pina; Petta, Andrea; Pirozzi, Donato; Scarano, Vittorio; Serra, Luigi; Spagnuolo, Carmine; Vicidomini, Luca; ",An extensible architecture for an ecosystem of visualization web-components for Open Data,Share-PSI,2,,24-25,2015,
"Antelmi, Alessia; Cordasco, Gennaro; Spagnuolo, Carmine; Vicidomini, Luca; ",On evaluating graph partitioning algorithms for distributed agent based models on networks,European Conference on Parallel Processing,,,367-378,2015,"Springer, Cham"
"Lettieri, Nicola; Spagnuolo, Carmine; Vicidomini, Luca; ",Distributed agent-based simulation and GIS: an experiment with the dynamics of social norms,European Conference on Parallel Processing,,,379-391,2015,"Springer, Cham"
"Malandrino, Delfina; Manno, Ilaria; Palmieri, Giuseppina; Petta, Andrea; Pirozzi, Donato; Scarano, Vittorio; Serra, Luigi; Spagnuolo, Carmine; Vicidomini, Luca; Cordasco, Gennaro; ",An architecture for social sharing and collaboration around open data visualisations,Proceedings of the 19th ACM Conference on Computer Supported Cooperative Work and Social Computing Companion,,,357-360,2016,ACM
"Scarano, Vittorio; Cordasco, Gennaro; Lettieri, Nicola; Malandrino, Delfina; Manno, Ilaria; Palmieri, Giuseppina; Petta, Andrea; Pirozzi, Donato; Rizzolo, Diletta; Serra, Luigi; ",Fostering transparency and participation in the data-based society: A sustainable architecture for a social platform for Open Data,"eChallenges e-2015 Conference, 2015",,,1-9,2015,IEEE
"Carillo, Michele; Cordasco, Gennaro; Serrapica, Flavio; Scarano, Vittorio; Spagnuolo, Carmine; Szufel, Przemysaw; ",SOF: Zero Configuration Simulation Optimization Framework on the Cloud,"Parallel, Distributed, and Network-Based Processing (PDP), 2016 24th Euromicro International Conference on",,,341-344,2016,IEEE
"Cordasco, Gennaro; Spagnuolo, Carmine; Scarano, Vittorio; ","Toward the New Version of D-MASON: Efficiency, Effectiveness and Correctness in Parallel and Distributed Agent-Based Simulations","Parallel and Distributed Processing Symposium Workshops, 2016 IEEE International",,,1803-1812,2016,IEEE
"Carillo, Michele; Cordasco, Gennaro; Serrapica, Flavio; Spagnuolo, Carmine; Szufel, Przemysaw; Vicidomini, Luca; ",DM ason on the Cloud: An Experience with Amazon Web Services,European Conference on Parallel Processing,,,322-333,2016,"Springer, Cham"
"Ozik, Jonathan; Collier, Nicholson T; Wozniak, Justin M; Spagnuolo, Carmine; ",From desktop to large-scale model exploration with Swift/T,"Winter Simulation Conference (WSC), 2016",,,206-220,2016,IEEE
"Cordasco, Gennaro; De Donato, Renato; Malandrino, Delfina; Palmieri, Giuseppina; Petta, Andrea; Pirozzi, Donato; Santangelo, Gianluca; Scarano, Vittorio; Serra, Luigi; Spagnuolo, Carmine; ",Engaging citizens with a social platform for open data,Proceedings of the 18th Annual International Conference on Digital Government Research,,,242-249,2017,ACM
"Andriessen, Jerry; Baker, Michael; Cordasco, Gennaro; De Donato, Renato; Malandrino, Delfina; Palmieri, Giuseppina; Pardijs, Mirjam; Petta, Andrea; Pirozzi, Donato; Scarano, Vittorio; ",Increasing Public Value through Co-Creation of Open Knowledge,"eDemocracy & eGovernment (ICEDEG), 2017 Fourth International Conference on",,,47-54,2017,IEEE
"Palmieri, Mirjam Pardijs; Petta, Andrea; Pirozzi, Donato; Scarano, Vittorio; Serra, Luigi; Spagnuolo, Carmine; Vicidomini, Luca; ",Keynotes Addresses,,,,,,
