YEAR,D,CREW,LOA,DRAFT,BMAX,DSPL,MAIN,GENOA,SYM,ASYM,GPH
1992,R,410,"9,140","1,822",3.04,2708.,27.7,23.6,0.0,79.5,646.5
2004,C,602,"12,420","1,992",3.99,8966.,44.8,34.8,0.0,0.0,632.7
2008,C,500,"9,630","1,874",3.30,5200.,27.1,21.1,0.0,72.8,719.8
1999,R,648,"9,550","2,088",2.96,2873.,33.5,23.4,68.7,82.0,610.6
2005,C,750,"10,600","2,189",3.25,4756.,42.3,32.1,105.1,0.0,602.0
2003,R,635,"10,057","2,094",3.45,3394.,38.8,27.1,81.3,0.0,614.9
1993,C,880,"12,020","1,711",3.90,7799.,35.4,40.7,0.0,0.0,709.8
2000,C,764,"12,016","2,441",3.79,7795.,48.4,42.8,104.6,0.0,601.5
1995,S,350,"8,032","1,501",2.49,1438.,21.5,14.0,0.0,65.0,661.5
2005,C,710,"12,575","2,529",3.01,6323.,61.2,42.1,125.6,0.0,559.3
2003,S,270,"6,141","1,508",2.14,696.,17.3,8.9,0.0,44.5,710.3
2012,C,750,"11,000","2,285",3.61,5440.,40.5,29.8,110.9,0.0,601.6
2005,C,720,"10,600","2,173",3.25,4487.,42.6,32.4,92.7,0.0,601.8
2007,C,895,"11,820","1,603",3.93,9211.,37.2,39.7,0.0,99.8,673.4
1999,C,450,"9,450","1,770",3.02,4700.,26.9,23.2,0.0,41.8,735.3
2014,C,950,"11,500","1,988",3.99,7350.,31.7,32.9,0.0,104.9,682.1
1997,R,824,"12,415","2,620",3.96,5565.,63.5,40.2,155.6,112.0,534.4
1997,C,750,"11,924","2,446",3.77,7780.,49.0,36.5,100.7,0.0,605.8
1997,C,830,"11,924","2,421",3.77,7222.,47.5,44.9,100.8,0.0,596.9
2014,C,750,"11,500","2,073",3.99,7003.,31.7,33.0,110.7,0.0,663.0
2002,C,875,"12,400","2,481",3.49,6594.,59.8,38.1,103.1,84.1,573.2
2001,C,900,"11,624","1,896",3.99,7800.,32.4,42.4,0.0,75.5,687.7
2001,C,870,"12,090","2,418",3.55,6837.,56.3,38.1,114.1,0.0,576.9
2006,C,985,"11,924","2,383",3.77,7176.,49.6,38.0,102.8,0.0,598.6
1976,C,500,"10,240","1,856",3.39,5608.,23.4,41.3,0.0,83.3,706.3
1999,S,352,"6,400","1,815",2.43,1268.,13.9,10.4,32.5,0.0,790.6
2014,C,591,"10,300","1,907",3.54,4704.,39.3,32.6,0.0,111.1,617.4
2003,C,600,"11,040","1,564",3.61,5870.,30.7,31.1,0.0,0.0,718.5
1994,R,450,"10,300","1,854",2.50,1600.,26.1,12.5,0.0,57.5,594.3
1997,C,950,"11,960","2,433",3.77,7473.,50.1,38.3,113.3,0.0,595.9
1992,S,351,"6,400","1,813",2.43,1250.,14.2,10.1,32.8,33.0,786.8
1971,C,300,"6,872","1,145",2.21,1391.,12.2,18.9,0.0,31.8,793.3
1997,S,400,"7,515","1,590",2.57,1232.,21.2,12.9,44.6,0.0,659.3
1997,C,560,"11,330","2,019",3.78,6425.,34.7,39.0,0.0,0.0,680.1
1995,S,412,"7,470","1,653",2.38,1184.,18.8,12.1,0.0,52.6,672.7
2005,C,745,"12,259","2,384",3.88,8334.,52.3,42.9,125.5,99.3,587.3
1997,C,1020,"11,924","2,432",3.77,7462.,48.2,32.7,101.4,0.0,606.8
2005,C,725,"9,982","2,016",3.37,4888.,34.4,32.1,0.0,81.4,640.7
1994,S,330,"7,740","1,576",2.69,1327.,20.8,10.4,37.7,26.0,695.8
2011,R,1400,"21,500","4,496",5.80,14021.,165.6,185.4,0.0,500.0,335.4
2006,C,500,"12,730","2,444",3.82,8447.,57.8,39.6,0.0,140.5,580.3
2006,R,1103,"15,847","3,201",4.35,7610.,100.5,65.3,0.0,239.6,451.6
1979,R,750,"13,288","2,358",4.16,9476.,39.6,63.6,134.6,129.6,602.9
2000,C,640,"10,704","2,005",3.60,6499.,31.5,24.9,75.6,74.4,673.1
1976,R,250,"7,280","1,545",2.68,1604.,11.9,18.7,42.3,0.0,773.3
1977,S,415,"7,318","1,224",2.69,1271.,16.0,11.4,35.3,0.0,739.6
1994,C,769,"11,800","2,220",3.94,8830.,38.7,40.9,0.0,74.5,653.2
2007,C,430,"9,778","1,905",3.49,3664.,29.9,25.5,66.9,0.0,648.4
2009,C,320,"10,660","2,206",3.64,5689.,39.0,27.3,0.0,102.6,637.8
2012,C,100,"13,885","2,205",4.33,11776.,63.7,48.4,0.0,146.3,578.2
1984,C,450,"10,100","1,727",3.14,5059.,23.5,29.3,80.7,69.6,706.5
2002,R,530,"9,460","2,154",2.92,2551.,32.4,18.9,70.3,0.0,613.6
1986,R,820,"13,348","2,678",4.12,8052.,65.1,52.0,130.3,0.0,566.1
1989,C,450,"11,010","1,835",3.51,5758.,39.2,23.9,0.0,0.0,698.8
2011,C,583,"9,775","1,475",3.43,5688.,27.0,24.1,74.2,0.0,706.6
1976,C,270,"8,250","1,749",2.82,2581.,15.3,21.1,53.6,0.0,746.5
2014,C,220,"9,381","1,785",3.34,4569.,35.2,24.7,73.1,67.2,667.7
1995,C,520,"11,095","1,807",3.64,6048.,28.3,29.7,76.3,0.0,685.1
2010,S,255,"6,344","1,429",2.51,819.,15.1,7.8,0.0,41.4,742.9
1978,,250,"7,655","1,554",2.76,1808.,11.2,15.2,31.7,0.0,787.9
2003,C,620,"10,300","1,927",3.48,5337.,33.0,29.1,71.2,0.0,657.5
1975,C,559,"10,820","1,920",3.13,6480.,21.6,34.2,81.4,68.9,707.6
1972,C,420,"9,149","1,660",3.09,3831.,20.2,31.0,0.0,56.4,729.5
2002,R,485,"9,460","2,294",2.92,2466.,30.6,20.2,57.6,0.0,626.6
2012,C,540,"9,998","2,300",3.36,4529.,33.3,25.0,71.0,79.9,638.8
2010,C,430,"12,365","2,445",3.95,8876.,54.0,40.8,122.8,117.0,590.2
1995,R,1050,"14,749","3,037",4.33,7770.,83.1,43.1,0.0,241.8,499.6
1977,,255,"7,655","1,521",2.76,1524.,16.0,12.8,34.1,26.2,762.3
2015,C,550,"10,915","1,909",3.85,7564.,36.6,30.1,0.0,88.2,669.6
1920,C,629,"13,269","2,053",3.16,10474.,36.3,40.0,114.8,93.4,695.1
1998,C,430,"9,490","1,918",3.22,3601.,23.6,20.1,49.2,0.0,691.2
1989,R,850,"15,185","3,167",4.59,11643.,81.8,67.8,143.6,0.0,549.2
1996,C,525,"9,530","1,986",3.11,2641.,34.5,20.8,58.4,0.0,628.3
