FileName,min1,max1,avg1,stdev1,p10_1,p90_1,min2,max2,avg2,stdev2,p10_2,p90_2,min3,max3,avg3,stdev3,p10_3,p90_3,min4,max4,avg4,stdev4,p10_4,p90_4,min5,max5,avg5,stdev5,p10_5,p90_5,min6,max6,avg6,stdev6,p10_6,p90_6,min7,max7,avg7,stdev7,p10_7,p90_7,area_3,area_7,nbUp1,nbDown1,nbIdle1,tUp1,tDown1,tIdle1,Total1,nbUp2,nbDown2,nbIdle2,tUp2,tDown2,tIdle2,Total2,nbUp3,nbDown3,nbIdle3,tUp3,tDown3,tIdle3,Total3,nbUp6,nbDown6,nbIdle6,tUp6,tDown6,tIdle6,Total6,nbUp7,nbDown7,nbIdle7,tUp7,tDown7,tIdle7,Total7,RangeA
u00012,9,745,500.6855542,119.3018638,394,695,6,783,521.8137741,152.0397823,311,676,0,706,400.2423039,153.423547,152,572,59,617,444.9031746,76.42171398,355,543,91,733,643.8812785,62.76503245,575,700,16,709,459.9224652,175.9342368,190,672,22,699,445.166849,121.8906302,251,559,22688400,38433530,5,5,9,5886,12069,999,18954,19,20,15,8356,13668,4726,26750,57,58,4,18188,15167,2612,35967,21,22,3,6141,7572,530,14243,29,29,8,6801,13751,4529,25094,Mild
u00020,5,775,598.2836134,142.2195893,413,732,12,731,443.0201613,150.0752275,247,652,0,856,534.4033898,161.5995896,302,700,23,935,648.565589,174.4600669,444,874,119,909,823.4266777,57.38549968,773,876,33,844,593.5145396,176.0473388,366,810,0,854,461.2912773,150.7872184,247,633,33067864,37799386,6,7,5,3878,7169,939,11986,20,21,8,9306,11204,1672,22182,58,59,2,9994,13324,169,23487,21,22,10,9453,9322,2623,21398,33,27,12,7917,14433,1181,23531,Mild
u00028,12,926,719.4045643,158.404533,509,852,1,730,372.5123305,180.3767174,126,614,0,707,347.262605,125.3036306,167,492,17,526,258.9016949,117.7689492,106,432,68,843,683.9717949,114.860821,617,786,0,853,465.7765363,200.0207686,201,775,0,883,325.005787,137.2743945,121,482,10638757,11484810,2,3,3,1930,7248,412,9590,24,25,9,11247,12219,1128,24594,61,58,12,15229,14310,2728,32267,22,23,13,11193,9437,3919,24549,65,65,9,12086,13011,1002,26099,Mild
u00037,35,1023,862.8585996,138.8633758,721,1014,1,916,562.0473174,207.8240201,244,827,0,1001,646.1882353,202.1923679,330,850,19,593,437.4426036,99.13094209,308,540,138,963,842.1356643,95.47601397,808,908,9,1023,668.0334262,192.7933604,417,852,5,1023,634.3520381,175.6257561,382,812,15219432,21786244,1,1,3,1300,11049,773,13135,18,18,14,13029,20197,2495,35734,65,66,13,11255,15994,3894,31143,21,22,28,18005,13523,5814,37342,52,53,11,10150,14232,3048,27430,Mild
u00048,7,997,867.0663868,117.6907623,797,943,8,901,740.1401869,165.8899445,563,875,10,826,545.9613993,166.4813538,290,717,11,734,513.359116,123.4079218,340,637,95,850,762.8880427,62.82423545,708,819,0,993,687.5988585,181.4447427,461,867,4,1023,493.4253545,141.2715193,316,642,10596928,16124049,5,6,28,8307,28661,2650,39618,18,16,24,16864,32178,2936,52017,59,59,8,22525,18726,1822,43086,29,17,44,29045,18358,9990,57406,57,58,11,21634,27089,4630,53353,Mild
u00094,0,660,291.8144654,156.4892193,74,490,0,663,317.6593199,131.6933117,118,485,4,646,314.7164009,137.5804613,100,471,98,461,302.1886326,52.60380781,241,369,55,679,565.3963816,62.67095431,508,629,0,707,412.7384306,175.8823814,154,614,0,740,341.1838917,151.0544737,113,513,8887407,6851640,16,16,28,10137,4801,2548,17499,27,28,27,19742,11970,7763,39475,71,72,24,18889,13244,6899,39032,26,27,27,12502,11235,9542,33279,58,59,15,11497,10571,5724,27792,Mild
u00098,7,897,607.8541973,197.3682996,321,813,2,923,507.8549052,214.1021672,222,806,0,950,521.505638,151.4976094,316,681,11,976,798.9212868,126.5575129,654,916,185,911,827.0512266,54.22494506,787,876,8,887,525.793379,188.35383,272,762,0,806,488.8726467,127.2327914,302,616,26704534,21738044,8,5,14,5225,5081,2970,13276,20,21,13,6132,9132,3390,18654,64,64,10,8757,12685,1570,23012,25,26,25,6237,6611,4017,16865,49,37,22,6326,13497,2757,22580,Mild
u00131,4,870,489.9864365,160.9948119,287,680,9,744,455.9895961,149.0598889,224,620,0,857,519.2059419,167.8123393,286,702,48,386,247.1593137,59.10147532,193,341,81,784,624.69869,77.8794223,568,751,0,990,597.6133333,144.9716727,454,733,4,1023,534.6249295,153.5707269,347,682,7653787,13449130,11,12,6,6696,6107,430,13233,26,27,22,16115,12309,2631,31055,68,69,14,16520,11162,4817,32499,19,20,11,12174,10165,3694,26033,40,41,14,9337,13348,5479,28164,Mild
u00135,1,611,455.2426096,125.6092266,339,552,0,693,423.2760098,157.2868021,137,592,0,748,502.4605201,147.2749112,293,662,8,478,331.938326,102.2014568,172,447,61,694,585.8105727,113.4615614,479,684,0,689,480.9405475,136.9595806,328,619,0,702,512.4330269,136.2779732,371,658,16178129,20971245,16,17,12,4102,7386,1412,12900,50,50,19,9941,12310,3389,25653,75,76,4,8685,15923,1509,26117,54,55,24,14174,17609,4533,36316,64,65,17,11709,22936,2643,37288,Mild
u00158,2,675,423.2278245,168.0502384,169,626,1,806,427.8159509,180.5587889,137,626,5,866,523.3799534,152.4516006,317,685,39,388,300.8174387,42.00346636,245,342,48,619,476.5979143,67.58572348,383,562,0,809,406.7881679,191.9980822,143,678,7,829,522.6350826,126.5950233,365,665,12218729,28415022,12,12,15,6661,8064,1699,16437,24,25,17,8903,12268,1333,22504,56,57,5,6876,12921,1038,20835,25,26,19,11616,7905,2792,22313,27,28,2,4949,15497,593,21039,Mild
