Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;19300156903;"Foundations and Trends in Machine Learning";journal;"19358245, 19358237";"Now Publishers Inc";No;No;22,797;Q1;42;5;12;1326;1613;12;48,33;265,20;25,00;1;0;United States;Northern America;"Now Publishers Inc";"2008-2024";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
2;21100831443;"Nature Biomedical Engineering";journal;"2157846X";"Nature Research";No;No;10,105;Q1;140;204;442;10275;10572;355;21,44;50,37;35,60;1;64;United Kingdom;Western Europe;"Nature Research";"2017-2025";"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Medicine"
3;19600166419;"Foundations and Trends in Signal Processing";journal;"19328346, 19328354";"Now Publishers Inc";No;No;7,305;Q1;22;3;9;609;244;9;9,00;203,00;33,33;0;0;United States;Northern America;"Now Publishers Inc";"2007-2014, 2016-2024";"Signal Processing (Q1)";"Computer Science"
4;18902;"IEEE Journal on Selected Areas in Communications";journal;"07338716";"Institute of Electrical and Electronics Engineers Inc.";No;No;7,023;Q1;274;271;765;12052;16234;747;19,92;44,47;24,81;0;39;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1983-2025";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
5;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;6,260;Q1;196;85;334;9424;11357;313;33,30;110,87;31,92;2;14;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
6;17915;"Proceedings of the IEEE";journal;"15582256, 00189219";"Institute of Electrical and Electronics Engineers Inc.";No;No;6,247;Q1;339;54;245;10663;9356;239;28,28;197,46;22,02;0;13;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2025";"Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
7;144974;"Journal of Service Research";journal;"10946705, 15527379";"SAGE Publications Inc.";No;No;6,011;Q1;156;71;116;5435;1873;105;11,35;76,55;41,94;0;14;United States;Northern America;"SAGE Publications Inc.";"1998-2025";"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
8;21100886132;"Science Robotics";journal;"24709476";"American Association for the Advancement of Science";No;No;5,940;Q1;122;134;304;5737;5900;260;19,26;42,81;26,66;0;18;United States;Northern America;"American Association for the Advancement of Science";"2016-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering; Mathematics"
9;21101007236;"Nature Machine Intelligence";journal;"25225839";"Springer International Publishing";Yes;No;5,876;Q1;94;177;484;9104;9769;353;18,44;51,44;27,87;2;20;Switzerland;Western Europe;"Springer International Publishing";"2019-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
10;23038;"ACM Computing Surveys";journal;"03600300, 15577341";"Association for Computing Machinery (ACM)";No;No;5,797;Q1;232;424;712;72042;26504;712;39,89;169,91;25,43;8;56;United States;Northern America;"Association for Computing Machinery (ACM)";"1969-2025";"Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
